comment,sentiment
"Tiresome and smarmy: I bought this book thinking it would be a fun read. It wasn't. It was tiresome ... to the point I just skimmed the last half. It was also smarmy as opposed to sexy. Don't get me wrong, I like a good romance novel. But this wasn't romantic. It was juvenile, almost painfully so, and the characters were complete idiots. Worse yet was the author's condescending attitude toward people from the state of Tennessee (for the record, I'm not from Tennessee but do have friends who live there). All I can say in closing is: Yuck!",0
"Problematic, but likeable: I had passed on this book a number of times before finally reading it, and I'll admit, I quite enjoyed it. It's a sexy, mindless beach read, and if you go into it with those expectations, I doubt you will be disappointed.Sure, there are problems. The heroine is at times condescending and unlikeable, and as another reviewer mentioned, the hero was too good for her. The writing is clunky and crude at times, and the plot chugs along clumsily.That said, I couldn't put it down. Sometimes there's room in your beach bag for a pointless and poorly-written fantasy, and this fits the bill.",1
"Let Down: I found myself discouraged several times with character development and found Gen's character rude/unlikable. Why would the sweet/honorable Jack (at times too weak) have such strong feelings for some rude woman? Additionally, I expected follow through in the love scenes. It is part of their foundation and discussed numerous times, but left the reader 'outside' the magic. I am a fan of Mrs. Thompson's work and will continue to buy her books; I just hope this is not an example of future works.",0
"WOW! Loved this sexy, sassy, very different book!: I love romances, all kinds, but it's so hard to find one that's really different. This one really is! The hero is this lovable, smart ""nerd"" who comes into his own when he's stranded with the girl of his dreams. Their hot, sensual relationship is wonderfully balanced by the secondary romance between the heroine's mother & boss (just loved that autumn romance!)I also really loved Gen's younger brother--what a great, true teenager.The humor was terrific--sharp and campy, at the same time. Loved the Elvis underwear story, loved the way Gen fell back on her mountain roots to help them survive on the island.Just loved it altogether!",1
"Decent premise, horribly written: I cannot believe this book has gotten good reviews. After slogging through over 200 pages, I absolutely couldn't take any more. The idea behind the book is actually pretty good (the back cover reads interestingly enough), but the book itself is truly terrible. The writing is stilted and the language crude. If I had read one more hillbilly euphemism I think I might have thrown up. Seriously, no one talks like that and it's insulting to Southerners that the author thinks so.Do not waste your money on this book. It will only encourage the author to write more literary trash like this.",0
total waste of time!: What a waste of time and energy. It took me forever to get through this book and I'm not ever finished with it. I don't think I'll ever finish it. I would not recommend this book to anyone. I can't believe I wasted money on this! Save your money people..... I recommend you get yourself a cup of latte instead!,0
Nerd in Shining armor is so funny!: Let me just say that this is one of the most funny books that i have ever read! I would say this is a must read:) Plus it is on Kelly Ripa's book club. Her books are always the best if you like cute funny books!,1
Very Good Beach Read: Loved Gen and Jackson's interplay and getting to know each other. I didn't feel like it was rushed and you get to know the characters. Agree with some other reviewers that I wasn't too into the Elvis bits and some of the other things that the author did to try to get the reader to laugh. Enjoyed the plot and the sunny island atmosphere.,1
"Because I love Kelly Ripa...: I bought this book because I find Kelly Ripa so adorable, and she choose it for her book club. It was a book that was painful to finish...you know the type, you start skimming just to finish it. It was so silly and I hate when reading a book feels like a waste of time. It was really that bad.Just for the record, I really did want to like this book! The ""About the Author"" was the only funny page.",0
"Flunks as a Blue Cheer parody: First off, a version of Blue Oyster Cult's ""Godzilla"" dipped in molasses oozes from the speakers. But there's no Buck Dharma and the singer is _worse_ than Eric Bloom. Which takes some doing, lemme tell ya. Fu Manchu's ""Eatin' Dust"" almost makes it as a parody of Blue Cheer: raw and brutal guitar riffage steeped in Big Muff fuzz punctuated by a truly useless vocalist who can be counted on to interrupt the mood with bursts of tone-deaf and incomprehensible chatter that is passed off as chant-singing. On ""Mongoose"" and ""Pigeon Toe"" the drummer, bass player and one guitar player are allowed to develop a nice amount of head-bang without the singer wrecking things too much but by this time ""Eatin' Dust"" is almost over. Fu Manchu forgets the dirty little secret of heavy metal: No one who claims to like Blue Cheer actually listens to ""OutsideInside"" or ""Vincebus Eruptum,"" ever. Probably an awesome live band, though.",0
"ALL THAT I HOPED: The canvas velcro shoes were all that I had hoped.I had a full hip replacement on 1/3/06. Therefore, I needed something that was easy to put on and comfortable to wear. The canvas velcro shoes filled the bill.",1
"CASE for e100: Christmas present to go with the Sansa SanDisk e100. Doesn't cover the player face, but it has a belt clip so it offers some versatality over the plastic case that comes with the player. Shipped and received as promised.",1
"Many uses for this book.: Uses: Hide a burn on table, no one will move it, use when you run out of Sear catalog pages, burn to get a fire started, hit your spouse, and the main reason to build outdated storage that didn't even look good in the 50's. This book is a zero for ideas. What do I have to pay you to take my book? Not even the generous one star I gave it.",0
Do not buy!: I have had the wallet for less than a month and the spring clip is already too weak to hold bills properly!,0
Not what I was expecting: A lot bigger than expected. The clip doesn't hold the money very well and it's a mess fumbling with the money trying to get it in and out of the wallet. I gave it a try for a couple weeks but never came to liking it so I gave it away and bought another style.,0
Broke immediately: The clip at the center of this money clip stopped working correctly after about a week. This was a waste of money.,0
"Slim, elegant, and discreet.: Perfect for keeping in your front pocket. Slim and the leather appears to be of quality.",1
"defective money clip: I purchased this to replace a similar wallet as it had a couple of extra card slots.It has a movable money clip metal insert. The clip opens wide to insert money then supposedly clips shut to hold it.Mine would not stay closed.I hate the hassles involved in returning an item so I did not file a claim or report this to the seller.I super glued it shut. It is quite loose now unless it has a lot of bills in it, but at least it is not flying open.I definitely prefer the clips that are fixed and made of a spring type metal",0
"Money Clip: The cash clip wallet holds a good number of credit cards and other inportant information. However, the metal clip that is to hold your cash in place will not stay clamped down. It pops up and the cash bills are just loose. It is too risky to try using it. It may work fine if you have very few credit cards to carry but that is not the case with me. I have personal and business credit cards, insurance cards, AAA card, etc. The wallet just cannot handle that much. I was disappointed in the product. If it is going to have all these slots for cards, it ought to be able to handle a full load.",0
"Pretty good: It works, it's not cheap, and is leather. Not ""the solution"" to bulky wallets and money handling I was looking for, but something different that I'm happy to be trying out.",1
"Royce Leather Mens Money Clip Wallet With Two Outside Pockets: Looked at many wallets and glad I chose this one. It's made we'll, looks good, and just enough pockets. It looks so neat and my husband likes it!",1
"front pocket wallet with concealed money clip: I like this front pocket wallet with concealed money clip and room for credit cards versus the wallet I had that exposed everything.My ID is inside and my money and credit cards too. The money has a tentancy to slide out of the clip, but other than that, it is great.",1
"Attractive, good size.: For the last decade or so I've bought numerous wallets. I usually buy them specifically for the removable flip-out panel with ID window and credit card pockets. I don't like bulky wallets, but the plastic windows always tear, and when I carry cash (which I'm trying to do more now) I didn't have a place to hold it securely.This is the best of both worlds, and is attractive as well.The only complaints I have are that it's slightly larger than I was hoping (but still smaller than a bifold) and that it 'flares out' slightly at the edges. I'm hoping the latter will be fixed after I've sat on it long enough to break it in.Overall, I'm pleased.",1
"Great Wallet: Really clever design with the two pockets on the outside - I have my ID and my CC there and that's usually all I need. The metal clip thing that holds the bills is a bit weak though and pops up a bit too easily, but it's a slick looking wallet that doesn't tale up much space in your pocket. If I lost it I'd probably buy the same one again.",1
"DON'T WASTE YOUR TIME OR MONEY. Not even worth renting.: --And not even worthy of one star (but Amazon forces you to choose a rating, so hence--my one-star feedback). Oy. What a disaster. Unless, of course, you're Ms. Aniston or Mr. Rudd who are laughing all the way to the bank with their this-script-beyond-sucks-but-holy-crap-you'll-pay-me-how-much paychecks. This lame piece of junk is just a bunch of tired cliches tied together with continuous punches of look-at-how-vulgar-we-can-be that is being marketed as ""clever."" I'm no prude, but this is not even good bad humor. It's just ... TOTAL BLAH. Bottom line: When will Hollywood figure out that even with dirty comedy, you still need to employ writers who can actually write. Otherwise, it's just dirty schlock.",0
"Stupidly hysterical!: This movie is wickedly funny! Is it kinda dumb? Yes. Will 20-somethings not ""get it""? Yes. But for anyone 50+ it will definitely give you ""flashbacks""! LOL!! (My 82-year old mother-in-law loved this movie!!) I admit I was surprised by the very brief but very graphic nudity, but can't imagine the film without it, as it is not what you think and is absolutely hysterical! Jennifer Aniston is perfect in this role, and Paul Judd gives a great performance as well. I could watch this again and again, it is so funny!",1
"Awful: It made me cry because I didn't want to keep watching it, but I felt I had to because I paid for it. Terrible acting, the plot was horrid and I feel like I got dumber from watching it.",0
"Not as good as I hoped.: However, it was okay. But it's one of those movies where stupid things just keep happening. Gets old after a while.",0
It's not that great: I thought this would be a great movie because Jennifer Aniston was in it. I also loved the title but the movie turned about to be weird. The character's character changed abruptly and it was difficult to tell if they were being sarcastic or if they really changed (for a few minutes).,0
Not impressed: I was hoping it was going to be a funny movie. A lot of people from The State were in it so I knew it was going to be funny. Not so much. It had moments. I love Paul Rudd and thought he could be the reason the movie would be great...he wasn't. I enjoyed watching the movie but probably won't watch it again.,0
"it had potential: It had a solid cast, a few jokes but overall I was rather disappointed in its drawn out storyline and failure to capture my attention. I think while watching it I kept checking Facebook to see if anything else was more entertaining than this movie.",0
"If not a Jennifer Anniston Fan then don't waste your time watching!!: The only reason I had to watch this Movie was because it stars my Favorite Lady of Hollywood, Jennifer Anniston, and I was also curious about her new Fiance, Justin Theroux, who is by the way a HUNK, and he also made the Movie really funny. It is a Corky, Screwball, Left Field Foul Ball of a Movie but it had its moments. If your a die hard Jennifer Anniston fan then yeah, you gotta see it, if not then don't waste your time. 2 StarsRobin, Athens, Georgia",0
"A cr*ppy movie: Only one word, awful. The only thing positive is that it shows just how screwed up the hippy movement was. I was in my teens when that experiment began and I was totally turned off.",0
"Gets better every time: Wanderlust was a surprisingly hilarious movie. I'll admit that the first time I saw it, I felt it was a decent movie...if anything. The difference with this movie(as is with several others...) is the more you watch it....THE FUNNIER IT GETS.I noticed a lot of movies lately become cult favorites...BECAUSE people watch it again and again. Paul Rudd is CLASSIC in this movie and Jen Anniston...though not as great as HORRIBLE BOSSES...still puts in a good performance. I purchased this movie only because I can't stop watching it! I recommend this movie to anyone who likes hilarious dialogue and crazy situations that the characters are forced into.",1
"Disappointment: Not worth the time. Good actors but that's about it - I expected more, especially after watching the funny preview. I stopped watching after a while....",0
"David Wain & Paul Rudd's Best Ever: If you don't have a sense of humor, don't bother watching this. If you are a David Wain and / or Paul Rudd fan, you will love this movie. It is hilarious with classic Wainisms and Rudd should win an Oscar for his performance. The writing will keep you laughing out loud and sure to inspire movie quotes with friends for years. The story isn't the greatest in the world and can be sappy at times but who cares, that is not what you are watching this movie for.",1
"Made me throw up: I am not a prude. I watch lots of slasher movies including the first 3 from the saw franchise so I am not overly squeamish. Wanderlust however made me so nauseous that I lost my cookies in a big way. They kept describing smells....and then when the main character started talking dirty to himself in the mirror I just lost it. Might just be me but I doubt it. In the outtakes he even said he was grossing himself out. Maybe if I hadn't spent time in a commune myself back in the 70's the descriptions of the smells wouldn't have come across so vividly for me, but I wouldn't watch it again. I am curious to know if anyone else reacted like I did.",0
"a few funny lines and scenes but overall a waste: This movie was predictable from the beginning, crude and just plain bad. I would never recommend this movie or watch it again.",0
"Horrible: That by far was the worse movie Jennifer every made. I watch the previews of Chelsea lately and they promoted it to be the funniest movie that year. Boy, were they wrong.",0
"Poor writing, forced dialog and not particularly clever: I couldn't even make it past the 30 minute mark before I shut this off. The characters were stereotypical and not well developed. Each character from the brother to the brother's wife, were one-dimensional. The plot could have been written by anyone and the dialog was (at least for the first 30 minutes) predictable and boring.I'm okay with crude jokes but they need to be clever for me to like them.There was nothing clever about this movie.",0
"Pretty smart for a dumb comedy: This was a lot of fun, and a lot wittier and more insightful than I had expected. Still a dumb comedy, just a lot smarter than most.",1
Painful: I was completely disappointed in this film. I consider myself a Paul Rudd fan but I find myself questioning his mindset when he chose to act in this movie. From start to finish the movie drags on and on. This is one of those movies where you just hope it ends as soon as possible. It really is that awful! You are warned!,0
Worst movie ever!!: This is the worst movie I have seen. I was about to throw the TV out the window. Dont waste your money on it. Wait until its on TNT!,0
No regular disc: The blue ray is fine but the regular DVD wasn't included. The whole reason I bought it was for both and I only got the one. Little disappointing.,0
"Usual Formulaic Crap: Rudd has no leading man qualities. Few actors can make you long for the talents of Ben Stiller, but Rudd is one of them. As a second lead, great. (40 yr old virgin, for example) But as a lead? no way. Aniston plays a post-collegiate 20-something who is trying to find herself. Of course, Aniston is 40+. And that's only the start of the ""R U Kidding Me"" stupidity of Wanderlust. This movie will be remembered as one of the increasingly annoying films from the shallow talent pool of Judd Aptow's stable of boy-men. A talent-less snooze fest.",0
"Must have been made by a bunch of teen boys.: Horrible movie, it appears to be made by a bunch of teen boys that have never been with a girl. It really sucks and would never show this movie to anyone that is under age. Would have expected more from this cast.Not good.",0
"Stunk: This was a really bad movie. We think Anniston made it so she could be with her boyfriend, but it wasn't funny at all and we wasted our money by renting it.",0
"Really, really bad.: I'll watch a silly movie every now and then.... this was unbearably bad. I just don't understand what Jennifer Anniston and Paul Rudd were thinking!",0
Is this what her career has become??: Couldn't even finish this movie it was so bad. It will be a long time before I try another Aniston movie.,0
"Bad to the bone!: This movie was bad to the bone. I can not believe how low some actors have gone for work. Not funny, not cute, nothing.......",0
Not for anyone under 18: This movie was so sexual graphic I would never recommend it to anyone. It was border soft porn. Horrible movie!,0
Dumb Film: The best part of this video is some of the outdoor scenes. The plot is rediculous and the acting is mediocre.I would not recommend it unless you like to see a naked man.,0
No good: I think it is stupid I have to write 18 words to rate a movie. I think the stars should be enough.,0
"Paul Rudd is Awesome!: I love Paul Rudd, but this is not one of his best movies. Very Very low budget and not a lot to keep your attention.",0
"skips the whole movie..: This dvd was in the 'used-very good' condition category, but it skips the whole movie. It skips in some of the best parts, too! Overall, horrible quality.",0
I honestly thought it was funny: I don't understand how everyone seemed to hate this movie. It was typical Paul Rudd. If you are a fan of his acting style and comedy you will like this movie. I really enjoyed it and have been wanting to see it again since I seen it in the theater.,1
"awful: I hated this movie. It seemed to have every cliche in the book. I expected it to be very funny, with Jennifer Aniston and Paul Rudd. It wasn't.",0
Not great: Too raunchy for my taste. Would not reccommend this movie. Still like Jennifer Aniston and Paul Rudd though - just not my cup of tea.,0
"Lame and unfunny: There were some great characters in here but either the actors, script writers, or the director couldn't bring it together to make it funny and entertaining.",0
"WANDERSUCK: You know with a name like Wanderlust & with a star like Jen Anniston in it, I really had high hopes for this movie, like maybe seeing Jen half naked or something. Well if you're wondering & have yet to see this bomb, wonder no more because there is absolutely no female nudity in this movie at all. Plenty of male nudity though, full frontal & everything confirming that the story was written by a female or male who likes other males. Lame storyline, felt more like a movie that was just thrown together in someone's backyard. If it didn't have the stars in it that it has, it have gone straight to b-movie status in the discount area of the video store. I'm disappointed that Jen would include herself in such a horrible flick, didn't even finish watching it. Avoid this one like the plague...",0
Wanderlust: This movie was a waste of some really great acting talent. Not funny or entertaining at all! I wish I had never purchased!,0
"previews are better then the movie: Remember when you first saw the preview for the movie and you thought, ""this is going to be hilarious!"" Well, you were wrong...and don't feel bad, so was I. Thankfully, I had a coupon for this movie and it didn't cost me a penny. Don't waist your time...it really sucked. It wasn't funny, and it was predictible. If you are looking for an excuse to waist two hours and not get them back..this is the movie for you. And shame on you Jennifer Aniston...I thought you had better taste then to do a movie like this. I guess the $$ was too good to pass up.",0
A waste of an evening: Interesting concept with potential. Unfortunately it didn't go far or deep enough and didn't really have the substance for either a social commentary or even a comedy. The acting was OK but I wish I could have used my evening watching a better movie. Hot Tub Time Machine is much better because it was a comedy that stayed a comedy and didn't attempt a deeper meaning.,0
"Not great: This movie doesn't have much going for it beyond the great cast. I'm a big fan of Paul Rudd and Jennifer Aniston, but this movie just plodded along. The jokes were contrived and there was nothing really driving the plot forward. A lot of the characters were pretty horrible. There's a long scene where Paul Rudd is saying foul things into a mirror that just went on forever, and was not funny. I'd skip this one unless you are a die hard fan.",0
"A Bad Movie: If it wasn't for some boobage (tons of old lady boobage, tho.), I would have given this movie only one star. A really bad movie and the Jennifer Aniston character is pretty weak.",0
"Wanderlust: Wanderlust is a light comedy that requires no thinking on the viewers part. The characters are interesting to say the least. Overall an ok movie. Would I buy it, no. Would I rent it for a couple of bucks to kill a Saturday night, yes. In an age of reality television this is a much better alternative.",1
"Super funny movie: I thought this movie was so funny, it had me laughing to tears multiple times. Definitely not for the prudish type, though, as there is plenty of dirty talk and nudity. I love Paul Rudd's style of comedy and Jennifer Aniston plays on it perfectly. I will absolutely recommend this movie!",1
Wanderlust: It was pretty good...a little slow at times somewhat raunchy at others. Overall I would recommend the movie to adults.,1
"Peace, love & vomit: Theme-Urban YUPPIES get fired find peace in country retreat with society's castoffs-yawn! I thought they stopped making movies like this?",0
"A 40 minute movie: I think there is exactly 40 minutes of decent film here, the rest looks like they were literally making it up as they went along. You can tell that some scenes were being improvised on the spot and they made the final cut, which tells you something... Like I said, there is 40 minutes of good stuff here, funny stuff, but the rest of the sheeyit that was interspersed into the film made it hard to watch. Literally. There were some scenes where my friends and I were asking each other ""what the eff is going on here? I can't stand this anymore, can I fast forward past this to the next scene?"" extremely disappointing, especially when considering the talent that was cast. Oh well, at least I didn't waste $12 in the theatres on this dreck.",0
"Pretty good...: This movie was pretty funny, but not entirely original or surprising. Justin Theroux was the best part. All of the performances are solid, but his stood out. Paul Rudd and Jennifer Amiston were Paul Rudd and Jennifer Aniston, but that isn't really a knock. The movie was entertaining and worth watching.",1
so uncomfortably funny!: This movie was a 5 star sleeper! We can't get enough of it. We keep watching it over and over again because there are so many funny lines! Fantastic movie!!!,1
Hilarious: Easily one of the funniest paul rudd movies ive seen. This had me laughing from start to finish which is hard to do nowadays for me anyways. Jennifer aniston is great in this movie and this is by far paul rudds best performance. You might find his mirror scene annoying the first time but it only gets funnier every time you rewatch this movie. Also the unrated edition is on the special features and is 18 minutes shorter....its more of a blooper version i think...its not as funny but its funny to watch if that makes any sense....dont watch the unrated version before the standard.,1
"Not that impressed: Maybe I'm old-fashioned, but this storyline struck me more as cognizant infidelity than curious exploration. Aniston's character abandons her inhibitions in record time and is suddenly deaf, dumb, and blind to her husband's feelings. The story felt forced and as a result, lost much in the way of humor.",0
"Not so great: This is one of those movies that seems like a great idea on paper, but mostly winds up making predictable and easy jokes. It leans on so many things we've seen before that it just left a bland taste in my mouth. It's nothing personal, as all the actors involved are mostly top notch, there's just no meat on this bone.",0
"Funny in some parts: Glad I didn't pay a whole lot to watch this movie, it was funny in parts but didn't really enjoy it overall",0
"They owe me stars! Movie is horrible. Absolute garbage.: I hate to even give this one star.This has to be one of the worst movies I have ever seen.. Tried to watch, but had to stop after 15 minutes. Thought Paul Rudd, Jennifer Aniston I like them both, need some light laughs. Boy was I wrong. Crude, stupid ""humor"". Paul & Jennifer should be ashamed to be part of this horrible piece of trash.If you truly want to waste your money and your time watch this movie. You will be sorry you did. Absolute garbage.",0
"Wanderlust JMHO: It would be hard to get me to say anything bad about this movie. It's not for kids, that's for sure. It's a mature, silly comedy (silly in the best ways). There are several of my favorite actors in it, Jennifer Aniston, Paul Rudd, Alan Alda and they all do a great job! Paul Rudd is hilarious and I was lmao at him in more than one scene-he plays the awkward, at times bumbling husband perfectly. It's a funny movie and I recommend it and also recommend watching through the bloopers and outtakes as they're hilarious as well.",1
"Seriously unfunny: A great cast can't save this stinker. Tired plot, tired jokes. Got it as a bargain rental and still contemplated asking for a refund. Just not funny.",0
don't bother: mildly amuzing-that is all there is to say-acting-probably one of Jennifer's worst-she must have needed a paycheck-was fun to see Alan Alda,0
"Disappointment: As much as I like Jennifer Aniston, this is a very bad movie.In order to fully appreciate how bad this movie really is, one has to watch it till the very end. At first, it seems that the wife of the couple is the stupid one, while the husband is just tired and unlucky. But at the end it gets clear that both are complete idiots (and that is why they are married).There are only few funny jokes. Most of them are captured in the trailer for this movie.If you are still curious, watch it, but do not spend too much money. I spent around 20 dollars on DVD. It does not worth it.",0
"another bad movie: The acting is terrible. Can Jennifer Aniston ever play a role of some quality?This movie had weak characters and a weak story.Will the day ever return when we no longer have the need to show male and female genitals in order to sell tickets.I could go on forever, but please do not rent or buy this movie.",0
"Very Disappointing...: This movie, for me, had so much potential. Paul Rudd is an incredible comedic actor, and I had high hopes for Justin Theroux. Jennifer Aniston, in every role since Friends, plays the ""Rachel""- like character and frankly it is getting old. This movie is simply not funny.",0
"Disappointing and cynical: I had high hopes for this movie. The trailer looked pretty funny. I'm a big Paul Rudd fan. He was actually really great in this movie, but the story line SUCKED. It had a bazar cadence, with disheveled emotions. The end is especially stupid. What turned me off the most, is how this movie played on the stereo type that all earth friendly, hippy types who live an alternat life style, are in a cult. The leader of the commune in this movie is an egotistical jerk - right from the beginning. This is just such a main stream, cynical view of free thinking, spiritual, alternative, vegan, type of people. This movie just leaves a bad taste in you're mouth. The only reason I didn't give it 1 star, was that Paul Rudd and Jenifer Aniston were really good.",0
"Eh . . .: Raunchy, vulgar, disgusting, and not all that funny. I like Jennifer Aniston (usually), but this one was not so great.",0
"bad boring rank and a complete waste of time: I don't know how anyone can say this was a good movie. I found it rank, STUPID, boring, lousy acting, lousy plot, not entertaining, and a waste. If it didn't star Paul Rudd and Jennifer Aniston then it wouldn't draw ANY viewing.",0
easy going & funny!: easy going & funny! not the best or funniest movie but still i didn't feel like i wasted my time after watching it.,1
Wanderlust not a bust: Wanderlust is a timely release. Many people are dealing with the slower economy and making changes in their life styles. The story line is plausible and the characters are fun.,1
